aggregation,method,source,endpoint,frames,sequences,failure_frames,failure_prevalence,failure_sequences,failure_sequence_fraction,run_count,run_length_mean,run_length_median,run_length_p95,run_length_max,sequences_with_run_ge3,sequences_with_run_ge5
pooled,Spatial-Mamba,PolypGen negative,largest_component_ge_005,647,4,291,0.449768160742,4,1.000000000000,74,3.932432432432,2.000000000000,13.400000000000,35,4,4
pooled,Spatial-Mamba,PolypGen negative,total_area_ge_010,647,4,220,0.340030911901,4,1.000000000000,71,3.098591549296,1.000000000000,10.500000000000,26,4,3
pooled,Spatial-Mamba,PolypGen negative,largest_component_ge_010,647,4,214,0.330757341577,4,1.000000000000,68,3.147058823529,1.000000000000,10.950000000000,26,4,3
pooled,Spatial-Mamba,SUN pooled negatives,any_foreground,27186,7,24296,0.893695284338,5,0.714285714286,1520,15.984210526316,5.000000000000,63.000000000000,287,5,5
pooled,Spatial-Mamba,SUN pooled negatives,total_area_ge_001,27186,7,23306,0.857279482086,5,0.714285714286,1872,12.449786324786,4.000000000000,50.900000000000,268,5,5
pooled,Spatial-Mamba,SUN pooled negatives,largest_component_ge_001,27186,7,23172,0.852350474509,5,0.714285714286,1938,11.956656346749,4.000000000000,49.000000000000,268,5,5
pooled,Spatial-Mamba,SUN pooled negatives,total_area_ge_005,27186,7,21013,0.772934598691,5,0.714285714286,2574,8.163558663559,3.000000000000,33.000000000000,182,5,5
pooled,Spatial-Mamba,SUN pooled negatives,largest_component_ge_005,27186,7,20492,0.753770322960,5,0.714285714286,2702,7.584011843079,3.000000000000,29.000000000000,182,5,4
pooled,Spatial-Mamba,SUN pooled negatives,total_area_ge_010,27186,7,18623,0.685021702347,5,0.714285714286,2990,6.228428093645,3.000000000000,24.000000000000,107,5,4
pooled,Spatial-Mamba,SUN pooled negatives,largest_component_ge_010,27186,7,17916,0.659015669830,5,0.714285714286,3129,5.725790987536,2.000000000000,22.600000000000,88,5,4
