hypothesis_id,model_a,model_b,scope,stratum,metric,sequence_units,exact_p_value,p_value_bh
H0052,absence_and_run_length,confidence_and_run_length_5,sequence,positive_sequences,false_positive_run_count,8,0.25,0.41517857142857145
H0053,absence_and_run_length,confidence_and_run_length_5,sequence,low_motion_sequences,false_positive_run_count,4,1.0,1.0
H0054,absence_and_run_length,confidence_and_run_length_5,sequence,high_motion_sequences,false_positive_run_count,4,0.5,0.6396148555708391
H0055,absence_and_run_length,confidence_and_run_length_5,sequence,all_sequences,prediction_fragment_count,8,0.75,0.8908045977011494
H0056,absence_and_run_length,confidence_and_run_length_5,sequence,positive_sequences,prediction_fragment_count,8,0.75,0.8908045977011494
H0057,absence_and_run_length,confidence_and_run_length_5,sequence,low_motion_sequences,prediction_fragment_count,4,1.0,1.0
H0058,absence_and_run_length,confidence_and_run_length_5,sequence,high_motion_sequences,prediction_fragment_count,4,1.0,1.0
H0059,absence_and_run_length,confidence_and_run_length_5,sequence,all_sequences,prediction_positive_frames,8,0.0625,0.19246688741721854
H0060,absence_and_run_length,confidence_and_run_length_5,sequence,positive_sequences,prediction_positive_frames,8,0.0625,0.19246688741721854
H0061,absence_and_run_length,confidence_and_run_length_5,sequence,low_motion_sequences,prediction_positive_frames,4,0.5,0.6396148555708391
H0062,absence_and_run_length,confidence_and_run_length_5,sequence,high_motion_sequences,prediction_positive_frames,4,0.25,0.41517857142857145
H0063,absence_and_run_length,ema_alpha_0_30,frame_sequence_mean,all_frames,dice,8,0.03125,0.11487154150197629
H0064,absence_and_run_length,ema_alpha_0_30,frame_sequence_mean,target_positive_frames,dice,8,0.0390625,0.14302411417322836
H0065,absence_and_run_length,ema_alpha_0_30,frame_sequence_mean,target_empty_frames,dice,8,0.0625,0.19246688741721854
H0066,absence_and_run_length,ema_alpha_0_30,frame_sequence_mean,positive_sequence_frames,dice,8,0.03125,0.11487154150197629
H0067,absence_and_run_length,ema_alpha_0_30,frame_sequence_mean,low_motion_frames,dice,8,0.078125,0.23362138263665594
H0068,absence_and_run_length,ema_alpha_0_30,frame_sequence_mean,high_motion_frames,dice,8,0.015625,0.07451923076923077
H0069,absence_and_run_length,ema_alpha_0_30,frame_sequence_mean,all_frames,iou,8,0.015625,0.07451923076923077
H0070,absence_and_run_length,ema_alpha_0_30,frame_sequence_mean,target_positive_frames,iou,8,0.015625,0.07451923076923077
H0071,absence_and_run_length,ema_alpha_0_30,frame_sequence_mean,target_empty_frames,iou,8,0.0625,0.19246688741721854
H0072,absence_and_run_length,ema_alpha_0_30,frame_sequence_mean,positive_sequence_frames,iou,8,0.015625,0.07451923076923077
H0073,absence_and_run_length,ema_alpha_0_30,frame_sequence_mean,low_motion_frames,iou,8,0.0625,0.19246688741721854
H0074,absence_and_run_length,ema_alpha_0_30,frame_sequence_mean,high_motion_frames,iou,8,0.015625,0.07451923076923077
