model_a,model_b,sequence_id,all_frame_dice_a,all_frame_dice_b,all_frame_dice_delta,target_positive_dice_a,target_positive_dice_b,target_positive_dice_delta,all_frame_boundary_iou_a,all_frame_boundary_iou_b,all_frame_boundary_iou_delta,sequence_mean_dice_a,sequence_mean_dice_b,sequence_mean_dice_delta,false_positive_frames_a,false_positive_frames_b,false_positive_frames_delta,prediction_fragments_a,prediction_fragments_b,prediction_fragments_delta
absence_and_run_length,run_length_5,positive_seq16,0.9509543528984427,0.9509543528984427,0.0,0.9708537610890217,0.9708537610890217,0.0,0.7721091066415845,0.7721091066415845,0.0,0.9509543528984429,0.9509543528984429,0.0,1.0,1.0,0.0,2.0,2.0,0.0
absence_and_run_length,run_length_5,positive_seq17,0.7989039861856915,0.8394223016686246,-0.040518315482933165,0.780248889311331,0.8837182955709852,-0.10346940625965428,0.6577137775019648,0.6782734035181054,-0.020559626016140586,0.7989039861856914,0.8394223016686245,-0.040518315482933165,3.0,5.0,-2.0,2.0,2.0,0.0
absence_and_run_length,run_length_5,positive_seq18,0.5149259558180292,0.6204065374479214,-0.10548058162989216,0.5435774145809972,0.6979573546289115,-0.15437994004791433,0.23962763954469038,0.27051270382168274,-0.030885064276992363,0.5149259558180292,0.6204065374479213,-0.10548058162989205,5.0,7.0,-2.0,3.0,1.0,2.0
absence_and_run_length,run_length_5,positive_seq19,0.7984926343614056,0.8091924347521301,-0.01069980039072449,0.7948288640770674,0.8057232062930778,-0.010894342216010378,0.6100040161005466,0.6174876417112277,-0.007483625610681166,0.7984926343614056,0.8091924347521301,-0.01069980039072449,0.0,0.0,0.0,1.0,1.0,0.0
absence_and_run_length,run_length_5,positive_seq20,0.5169688038132322,0.5169688038132322,0.0,0.4155605741383248,0.4155605741383248,0.0,0.4226432375807583,0.4226432375807583,0.0,0.5169688038132321,0.5169688038132321,0.0,7.0,7.0,0.0,2.0,2.0,0.0
absence_and_run_length,run_length_5,positive_seq21,0.9130207417530777,0.8942722986269663,0.018748443126111347,0.8051664615268939,0.8831699489244045,-0.07800348739751062,0.8240780404869646,0.7957376591285727,0.028340381358391897,0.9130207417530775,0.8942722986269663,0.018748443126111125,0.0,3.0,-3.0,1.0,2.0,-1.0
absence_and_run_length,run_length_5,positive_seq22,0.8664986138838444,0.8490822155609975,0.017416398322846915,0.8604303690603828,0.8876768617228609,-0.027246492662478028,0.6625798120588707,0.6379070343167644,0.0246727777421063,0.8664986138838446,0.8490822155609976,0.017416398322847026,0.0,2.0,-2.0,2.0,1.0,1.0
absence_and_run_length,run_length_5,positive_seq23,0.25403687809875825,0.25403687809875825,0.0,0.3951684770425129,0.3951684770425129,0.0,0.15114533898956004,0.15114533898956004,0.0,0.25403687809875825,0.25403687809875825,0.0,20.0,20.0,0.0,1.0,1.0,0.0
