hypothesis_id,model_a,model_b,scope,stratum,metric,iterations,seed,sequence_units,mean_a,mean_b,mean_delta,ci95_lower,ci95_upper,p_value,p_method,p_sign_assignments,p_value_bh
H0024,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,high_motion_frames,mae,10000,0,8,0.04559779998496841,0.043080738956161185,0.002517061028807221,-0.006575943092216872,0.01088784326750459,0.75,exact_two_sided_paired_sign_flip,256,0.8908045977011494
H0025,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,all_frames,false_positive_fraction,10000,0,8,0.018156348993613788,0.020373358024401902,-0.002217009030788116,-0.004651395968704921,-0.0005772895072923554,0.0625,exact_two_sided_paired_sign_flip,256,0.19246688741721854
H0026,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_positive_frames,false_positive_fraction,10000,0,8,0.01525144234013174,0.01719644011714856,-0.0019449977770168193,-0.004435068105722402,-0.0003429942737926135,0.0625,exact_two_sided_paired_sign_flip,256,0.19246688741721854
H0027,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_empty_frames,false_positive_fraction,10000,0,8,0.022936656062764335,0.026081786512297315,-0.003145130449532981,-0.00690828691654687,-0.0003960217927631588,0.125,exact_two_sided_paired_sign_flip,256,0.26182432432432434
H0028,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,positive_sequence_frames,false_positive_fraction,10000,0,8,0.018156348993613788,0.020373358024401902,-0.002217009030788116,-0.0046203583678661,-0.0005801316249517747,0.0625,exact_two_sided_paired_sign_flip,256,0.19246688741721854
H0029,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,low_motion_frames,false_positive_fraction,10000,0,8,0.01677032130133184,0.018197492527600927,-0.001427171226269087,-0.002718798435865047,-0.00043008826523230814,0.0625,exact_two_sided_paired_sign_flip,256,0.19246688741721854
H0030,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,high_motion_frames,false_positive_fraction,10000,0,8,0.020479666034457653,0.024356229191924945,-0.0038765631574672905,-0.010026617033351243,-0.00031087239583333336,0.125,exact_two_sided_paired_sign_flip,256,0.26182432432432434
H0031,absence_and_run_length,confidence_and_run_length_5,sequence,all_sequences,mean_dice,10000,0,8,0.7017252458515602,0.7167919778583842,-0.015066732006823944,-0.04462000754657616,0.00686416057188366,0.4375,exact_two_sided_paired_sign_flip,256,0.6298374613003096
H0032,absence_and_run_length,confidence_and_run_length_5,sequence,positive_sequences,mean_dice,10000,0,8,0.7017252458515602,0.7167919778583842,-0.015066732006823944,-0.04516835444083324,0.006697654971475647,0.4375,exact_two_sided_paired_sign_flip,256,0.6298374613003096
H0033,absence_and_run_length,confidence_and_run_length_5,sequence,low_motion_sequences,mean_dice,10000,0,4,0.6089992325393101,0.6073200830562795,0.0016791494830306342,-0.008024850293043367,0.01306229874213527,1.0,exact_two_sided_paired_sign_flip,16,1.0
H0034,absence_and_run_length,confidence_and_run_length_5,sequence,high_motion_sequences,mean_dice,10000,0,4,0.7944512591638103,0.8262638726604887,-0.03181261349667852,-0.07911043622241903,0.009374221563055563,0.5,exact_two_sided_paired_sign_flip,16,0.6396148555708391
H0035,absence_and_run_length,confidence_and_run_length_5,sequence,all_sequences,mean_iou,10000,0,8,0.659742727942429,0.6703983647853166,-0.010655636842887499,-0.03474889822124199,0.008675424703919188,0.5,exact_two_sided_paired_sign_flip,256,0.6396148555708391
H0036,absence_and_run_length,confidence_and_run_length_5,sequence,positive_sequences,mean_iou,10000,0,8,0.659742727942429,0.6703983647853166,-0.010655636842887499,-0.0349217890938466,0.008583472668783662,0.5,exact_two_sided_paired_sign_flip,256,0.6396148555708391
H0037,absence_and_run_length,confidence_and_run_length_5,sequence,low_motion_sequences,mean_iou,10000,0,4,0.5705821802367805,0.5667694373346057,0.0038127429021748704,-0.005728716631042713,0.017166945337567324,1.0,exact_two_sided_paired_sign_flip,16,1.0
H0038,absence_and_run_length,confidence_and_run_length_5,sequence,high_motion_sequences,mean_iou,10000,0,4,0.7489032756480775,0.7740272922360274,-0.02512401658794987,-0.06369631146627981,0.00979813194865009,0.5,exact_two_sided_paired_sign_flip,16,0.6396148555708391
H0039,absence_and_run_length,confidence_and_run_length_5,sequence,all_sequences,mean_boundary_iou,10000,0,8,0.5424876211131175,0.5432270157135319,-0.0007393946004144655,-0.01345280550654241,0.012577918224481375,0.9375,exact_two_sided_paired_sign_flip,256,1.0
H0040,absence_and_run_length,confidence_and_run_length_5,sequence,positive_sequences,mean_boundary_iou,10000,0,8,0.5424876211131175,0.5432270157135319,-0.0007393946004144655,-0.013441684351176876,0.01233638887105315,0.9375,exact_two_sided_paired_sign_flip,256,1.0
H0041,absence_and_run_length,confidence_and_run_length_5,sequence,low_motion_sequences,mean_boundary_iou,10000,0,4,0.4615931011824339,0.45729581314957757,0.004297288032856311,-0.005612719208010791,0.018504583306579725,1.0,exact_two_sided_paired_sign_flip,16,1.0
H0042,absence_and_run_length,confidence_and_run_length_5,sequence,high_motion_sequences,mean_boundary_iou,10000,0,4,0.6233821410438012,0.6291582182774864,-0.005776077233685242,-0.025722345146566433,0.016115379514758804,0.75,exact_two_sided_paired_sign_flip,16,0.8908045977011494
H0043,absence_and_run_length,confidence_and_run_length_5,sequence,all_sequences,mean_false_positive_fraction,10000,0,8,0.018156348993613788,0.020373358024401902,-0.0022170090307881154,-0.004665815296206736,-0.0005801316249517745,0.0625,exact_two_sided_paired_sign_flip,256,0.19246688741721854
H0044,absence_and_run_length,confidence_and_run_length_5,sequence,positive_sequences,mean_false_positive_fraction,10000,0,8,0.018156348993613788,0.020373358024401902,-0.0022170090307881154,-0.004665815296206736,-0.0005628701797905399,0.0625,exact_two_sided_paired_sign_flip,256,0.19246688741721854
H0045,absence_and_run_length,confidence_and_run_length_5,sequence,low_motion_sequences,mean_false_positive_fraction,10000,0,4,0.028592354829709933,0.03154564869785445,-0.002953293868144518,-0.007439531598772323,0.0,0.5,exact_two_sided_paired_sign_flip,16,0.6396148555708391
H0046,absence_and_run_length,confidence_and_run_length_5,sequence,high_motion_sequences,mean_false_positive_fraction,10000,0,4,0.007720343157517636,0.00920106735094935,-0.0014807241934317126,-0.0025387051160163134,-0.0004170590355282738,0.25,exact_two_sided_paired_sign_flip,16,0.41517857142857145
H0047,absence_and_run_length,confidence_and_run_length_5,sequence,all_sequences,false_positive_frames,10000,0,8,4.5,5.625,-1.125,-2.0,-0.25,0.125,exact_two_sided_paired_sign_flip,256,0.26182432432432434
