hypothesis_id,model_a,model_b,scope,stratum,metric,sequence_id,value_a,value_b,delta
H0005,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,low_motion_frames,dice,positive_seq19,0.8356458510585631,0.8527655316837224,-0.017119680625159228
H0005,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,low_motion_frames,dice,positive_seq20,0.426179025807654,0.426179025807654,0.0
H0005,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,low_motion_frames,dice,positive_seq21,0.9663994088068427,0.9108438532512871,0.05555555555555558
H0005,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,low_motion_frames,dice,positive_seq22,0.8822620096557814,0.8564183218218794,0.025843687833902007
H0005,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,low_motion_frames,dice,positive_seq23,0.1360902646706308,0.1360902646706308,0.0
H0006,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,high_motion_frames,dice,positive_seq16,0.961989073379123,0.961989073379123,0.0
H0006,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,high_motion_frames,dice,positive_seq17,0.7162605050597984,0.8427231127104867,-0.12646260765068829
H0006,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,high_motion_frames,dice,positive_seq18,0.5501377607379575,0.6791323821419856,-0.12899462140402806
H0006,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,high_motion_frames,dice,positive_seq19,0.7365706065328096,0.7365706065328096,0.0
H0006,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,high_motion_frames,dice,positive_seq20,0.703888935001187,0.703888935001187,0.0
H0006,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,high_motion_frames,dice,positive_seq21,0.8169391410563002,0.8644435003031885,-0.04750435924688834
H0006,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,high_motion_frames,dice,positive_seq22,0.8339209292885084,0.8339209292885084,0.0
H0006,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,high_motion_frames,dice,positive_seq23,0.3303552750228407,0.3303552750228407,0.0
H0007,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,all_frames,iou,positive_seq16,0.9295762210954409,0.9295762210954409,0.0
H0007,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,all_frames,iou,positive_seq17,0.7665441623207436,0.8017080772814703,-0.03516391496072668
H0007,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,all_frames,iou,positive_seq18,0.41753792052962807,0.5024663358180012,-0.08492841528837308
H0007,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,all_frames,iou,positive_seq19,0.7677637973987527,0.7754020862401431,-0.007638288841390395
H0007,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,all_frames,iou,positive_seq20,0.4925005906190423,0.4925005906190423,0.0
H0007,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,all_frames,iou,positive_seq21,0.8819547986464975,0.8623585347491972,0.019596263897300292
H0007,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,all_frames,iou,positive_seq22,0.8120113759492354,0.7891221154991455,0.022889260450089988
H0007,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,all_frames,iou,positive_seq23,0.21005295698009177,0.21005295698009177,0.0
H0008,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_positive_frames,iou,positive_seq16,0.9449408740550799,0.9449408740550799,0.0
H0008,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_positive_frames,iou,positive_seq17,0.7339155051410647,0.8297183833802871,-0.0958028782392224
H0008,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_positive_frames,iou,positive_seq18,0.43401587488154586,0.5652746277952515,-0.13125875291370565
H0008,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_positive_frames,iou,positive_seq19,0.7635413209878208,0.7713184878081456,-0.00777716682032481
H0008,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_positive_frames,iou,positive_seq20,0.3745171197480709,0.3745171197480709,0.0
H0008,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_positive_frames,iou,positive_seq21,0.735578748968154,0.8116831178382017,-0.07610436887004768
H0008,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_positive_frames,iou,positive_seq22,0.8034664384923825,0.8249913025672885,-0.021524864074905947
H0008,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_positive_frames,iou,positive_seq23,0.32674904419125395,0.32674904419125395,0.0
H0009,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_empty_frames,iou,positive_seq16,0.8571428571428571,0.8571428571428571,0.0
H0009,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_empty_frames,iou,positive_seq17,0.8421052631578947,0.7368421052631579,0.10526315789473684
H0009,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_empty_frames,iou,positive_seq18,0.2857142857142857,0.0,0.2857142857142857
H0009,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_empty_frames,iou,positive_seq19,1.0,1.0,0.0
H0009,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_empty_frames,iou,positive_seq20,0.6666666666666666,0.6666666666666666,0.0
H0009,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_empty_frames,iou,positive_seq21,1.0,0.9032258064516129,0.09677419354838712
H0009,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_empty_frames,iou,positive_seq22,1.0,0.0,1.0
H0009,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_empty_frames,iou,positive_seq23,0.0,0.0,0.0
H0010,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,positive_sequence_frames,iou,positive_seq16,0.9295762210954409,0.9295762210954409,0.0
H0010,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,positive_sequence_frames,iou,positive_seq17,0.7665441623207436,0.8017080772814703,-0.03516391496072668
H0010,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,positive_sequence_frames,iou,positive_seq18,0.41753792052962807,0.5024663358180012,-0.08492841528837308
H0010,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,positive_sequence_frames,iou,positive_seq19,0.7677637973987527,0.7754020862401431,-0.007638288841390395
H0010,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,positive_sequence_frames,iou,positive_seq20,0.4925005906190423,0.4925005906190423,0.0
H0010,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,positive_sequence_frames,iou,positive_seq21,0.8819547986464975,0.8623585347491972,0.019596263897300292
H0010,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,positive_sequence_frames,iou,positive_seq22,0.8120113759492354,0.7891221154991455,0.022889260450089988
H0010,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,positive_sequence_frames,iou,positive_seq23,0.21005295698009177,0.21005295698009177,0.0
H0011,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,low_motion_frames,iou,positive_seq16,0.9296112347568604,0.9296112347568604,0.0
H0011,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,low_motion_frames,iou,positive_seq17,0.8936437982902965,0.8195697242162223,0.07407407407407418
H0011,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,low_motion_frames,iou,positive_seq18,0.2814032981614993,0.2707171837613934,0.010686114400105862
H0011,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,low_motion_frames,iou,positive_seq19,0.8005799910074852,0.8128012531537098,-0.012221262146224543
H0011,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,low_motion_frames,iou,positive_seq20,0.42324515220260295,0.42324515220260295,0.0
H0011,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,low_motion_frames,iou,positive_seq21,0.9463111569367655,0.8907556013812099,0.05555555555555558
H0011,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,low_motion_frames,iou,positive_seq22,0.8375594338146263,0.8035947247596543,0.03396470905497195
H0011,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,low_motion_frames,iou,positive_seq23,0.1168480886317388,0.1168480886317388,0.0
H0012,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,high_motion_frames,iou,positive_seq16,0.9295288496711679,0.9295288496711679,0.0
H0012,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,high_motion_frames,iou,positive_seq17,0.6712194353435792,0.7883118420804061,-0.11709240673682686
H0012,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,high_motion_frames,iou,positive_seq18,0.44633562910750135,0.551490194906899,-0.10515456579939764
H0012,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,high_motion_frames,iou,positive_seq19,0.7130701413841986,0.7130701413841986,0.0
H0012,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,high_motion_frames,iou,positive_seq20,0.635085316770535,0.635085316770535,0.0
H0012,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,high_motion_frames,iou,positive_seq21,0.7661133537240148,0.8112438148115743,-0.04513046108755947
H0012,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,high_motion_frames,iou,positive_seq22,0.7592120563607608,0.7592120563607608,0.0
H0012,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,high_motion_frames,iou,positive_seq23,0.27036198944079076,0.27036198944079076,0.0
H0013,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,all_frames,boundary_iou,positive_seq16,0.7721091066415845,0.7721091066415845,0.0
H0013,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,all_frames,boundary_iou,positive_seq17,0.6577137775019648,0.6782734035181054,-0.020559626016140586
H0013,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,all_frames,boundary_iou,positive_seq18,0.23962763954469038,0.27051270382168274,-0.030885064276992363
H0013,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,all_frames,boundary_iou,positive_seq19,0.6100040161005466,0.6174876417112277,-0.007483625610681166
H0013,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,all_frames,boundary_iou,positive_seq20,0.4226432375807583,0.4226432375807583,0.0
H0013,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,all_frames,boundary_iou,positive_seq21,0.8240780404869646,0.7957376591285727,0.028340381358391897
H0013,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,all_frames,boundary_iou,positive_seq22,0.6625798120588707,0.6379070343167644,0.0246727777421063
H0013,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,all_frames,boundary_iou,positive_seq23,0.15114533898956004,0.15114533898956004,0.0
H0014,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_positive_frames,boundary_iou,positive_seq16,0.7540716444140418,0.7540716444140418,0.0
H0014,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_positive_frames,boundary_iou,positive_seq17,0.5780901814232677,0.6529823732191055,-0.07489219179583773
H0014,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_positive_frames,boundary_iou,positive_seq18,0.23386680877349095,0.3043267917993931,-0.07045998302590215
H0014,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_positive_frames,boundary_iou,positive_seq19,0.6029131800296473,0.6105328715605226,-0.007619691530875272
H0014,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_positive_frames,boundary_iou,positive_seq20,0.2573370436838526,0.2573370436838526,0.0
H0014,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_positive_frames,boundary_iou,positive_seq21,0.6059348106908007,0.662452356448003,-0.05651754575720236
H0014,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_positive_frames,boundary_iou,positive_seq22,0.6472425307888194,0.66690280860389,-0.019660277815070515
H0014,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_positive_frames,boundary_iou,positive_seq23,0.23511497176153784,0.23511497176153784,0.0
H0015,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_empty_frames,boundary_iou,positive_seq16,0.8571428571428571,0.8571428571428571,0.0
H0015,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_empty_frames,boundary_iou,positive_seq17,0.8421052631578947,0.7368421052631579,0.10526315789473684
H0015,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_empty_frames,boundary_iou,positive_seq18,0.2857142857142857,0.0,0.2857142857142857
H0015,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_empty_frames,boundary_iou,positive_seq19,1.0,1.0,0.0
H0015,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_empty_frames,boundary_iou,positive_seq20,0.6666666666666666,0.6666666666666666,0.0
H0015,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_empty_frames,boundary_iou,positive_seq21,1.0,0.9032258064516129,0.09677419354838712
H0015,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_empty_frames,boundary_iou,positive_seq22,1.0,0.0,1.0
H0015,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,target_empty_frames,boundary_iou,positive_seq23,0.0,0.0,0.0
H0016,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,positive_sequence_frames,boundary_iou,positive_seq16,0.7721091066415845,0.7721091066415845,0.0
H0016,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,positive_sequence_frames,boundary_iou,positive_seq17,0.6577137775019648,0.6782734035181054,-0.020559626016140586
H0016,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,positive_sequence_frames,boundary_iou,positive_seq18,0.23962763954469038,0.27051270382168274,-0.030885064276992363
H0016,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,positive_sequence_frames,boundary_iou,positive_seq19,0.6100040161005466,0.6174876417112277,-0.007483625610681166
H0016,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,positive_sequence_frames,boundary_iou,positive_seq20,0.4226432375807583,0.4226432375807583,0.0
H0016,absence_and_run_length,confidence_and_run_length_5,frame_sequence_mean,positive_sequence_frames,boundary_iou,positive_seq21,0.8240780404869646,0.7957376591285727,0.028340381358391897
