slice,dataset,task,selection_mode,nominal_budget,threshold,max_gap_frames,sequences_or_clips,frames,failure_frames,reviewed_frames,caught_failure_frames,safe_referred_frames,failure_episodes,captured_failure_episodes,residual_failure_episodes,referral_episodes,false_referral_episodes,redundant_failure_hits,within_referral_episode_extra_frames,review_fraction,frame_failure_recall,episode_failure_recall,false_referral_episode_fraction,reviewed_frames_per_sequence_or_clip,referral_episodes_per_sequence_or_clip,false_referral_episodes_per_sequence_or_clip,redundant_failure_hits_per_captured_episode,failure_episode_duration_mean_frames,failure_episode_duration_median_frames,failure_episode_duration_p95_frames,failure_episode_duration_max_frames,captured_episode_duration_mean_frames,captured_episode_duration_median_frames,captured_episode_duration_p95_frames,captured_episode_duration_max_frames,residual_episode_duration_mean_frames,residual_episode_duration_median_frames,residual_episode_duration_p95_frames,residual_episode_duration_max_frames,referral_episode_duration_mean_frames,referral_episode_duration_median_frames,referral_episode_duration_p95_frames,referral_episode_duration_max_frames,false_referral_episode_duration_mean_frames,false_referral_episode_duration_median_frames,false_referral_episode_duration_p95_frames,false_referral_episode_duration_max_frames
sun_test_positive_pooled,SUN-SEG,positive_lesion_preservation,exact_rank,0.2,,0,173,29592,3439,5919,1266,4653,778,422,356,1286,850,844,4633,0.20002027575020276,0.36813027042744983,0.5424164524421594,0.6609642301710731,34.213872832369944,7.433526011560693,4.913294797687861,2.0,4.420308483290489,2.0,17.0,101,5.23696682464455,2.0,19.94999999999999,90,3.452247191011236,1.0,11.0,101,4.602643856920684,1.0,16.75,145,3.9258823529411764,1.0,14.0,116
sun_negative_loco_macro,SUN-SEG,negative_false_positive,heldout_exact_rank,0.2,,0,7,27186,24296,5439,5439,0,1520,620,900,2442,0,4819,2997,0.20006621054954757,0.22386401053671387,0.40789473684210525,0.0,777.0,348.85714285714283,0.0,7.77258064516129,15.98421052631579,5.0,63.0,287,32.42903225806452,20.0,103.0,287,4.655555555555556,2.0,16.049999999999955,78,2.227272727272727,1.0,6.0,31,,,,
polypgen_test_negative,PolypGen-Video,negative_false_positive,exact_rank,0.2,,0,4,647,418,130,130,0,71,24,47,43,0,106,87,0.2009273570324575,0.31100478468899523,0.3380281690140845,0.0,32.5,10.75,0.0,4.416666666666667,5.887323943661972,2.0,23.5,99,11.5,4.0,34.699999999999996,99,3.021276595744681,2.0,7.699999999999996,30,3.0232558139534884,1.0,11.899999999999999,18,,,,
polypgen_test_negative,PolypGen-Video,negative_false_positive,sun_val_frozen_threshold,0.2,0.04186127,0,4,647,418,16,16,0,71,6,65,15,0,10,1,0.02472952086553323,0.03827751196172249,0.08450704225352113,0.0,4.0,3.75,0.0,1.6666666666666667,5.887323943661972,2.0,23.5,99,26.333333333333332,10.0,83.0,99,4.0,2.0,14.399999999999991,33,1.0666666666666667,1.0,1.299999999999999,2,,,,
