slice,dataset,task,selection_mode,nominal_budget,threshold,max_gap_frames,sequences_or_clips,frames,failure_frames,reviewed_frames,caught_failure_frames,safe_referred_frames,failure_episodes,captured_failure_episodes,residual_failure_episodes,referral_episodes,false_referral_episodes,redundant_failure_hits,within_referral_episode_extra_frames,review_fraction,frame_failure_recall,episode_failure_recall,false_referral_episode_fraction,reviewed_frames_per_sequence_or_clip,referral_episodes_per_sequence_or_clip,false_referral_episodes_per_sequence_or_clip,redundant_failure_hits_per_captured_episode,failure_episode_duration_mean_frames,failure_episode_duration_median_frames,failure_episode_duration_p95_frames,failure_episode_duration_max_frames,captured_episode_duration_mean_frames,captured_episode_duration_median_frames,captured_episode_duration_p95_frames,captured_episode_duration_max_frames,residual_episode_duration_mean_frames,residual_episode_duration_median_frames,residual_episode_duration_p95_frames,residual_episode_duration_max_frames,referral_episode_duration_mean_frames,referral_episode_duration_median_frames,referral_episode_duration_p95_frames,referral_episode_duration_max_frames,false_referral_episode_duration_mean_frames,false_referral_episode_duration_median_frames,false_referral_episode_duration_p95_frames,false_referral_episode_duration_max_frames
sun_test_positive_pooled,SUN-SEG,positive_lesion_preservation,sun_val_frozen_threshold,0.05,0.09579211,2,173,29592,3439,72,52,20,427,22,405,40,11,30,32,0.0024330900243309003,0.01512067461471358,0.05152224824355972,0.275,0.4161849710982659,0.23121387283236994,0.06358381502890173,1.3636363636363635,9.1288056206089,3.0,38.0,126,20.5,8.5,82.14999999999998,116,8.511111111111111,2.0,36.59999999999991,126,2.175,1.0,6.099999999999994,12,1.3636363636363635,1.0,3.0,5
sun_test_positive_pooled,SUN-SEG,positive_lesion_preservation,sun_val_frozen_threshold,0.05,0.09579211,5,173,29592,3439,72,52,20,301,19,282,32,9,33,40,0.0024330900243309003,0.01512067461471358,0.06312292358803986,0.28125,0.4161849710982659,0.18497109826589594,0.05202312138728324,1.736842105263158,14.548172757475083,4.0,71.0,160,34.0,14.0,135.39999999999998,139,13.23758865248227,4.0,61.0,160,3.625,1.0,13.249999999999996,26,1.0,1.0,1.0,1
sun_test_positive_pooled,SUN-SEG,positive_lesion_preservation,exact_rank,0.1,,0,173,29592,3439,2960,912,2048,778,311,467,854,505,601,2106,0.10002703433360367,0.26519337016574585,0.39974293059125965,0.5913348946135831,17.109826589595375,4.936416184971098,2.9190751445086707,1.932475884244373,4.420308483290489,2.0,17.0,101,5.7491961414791,2.0,21.5,90,3.5353319057815846,2.0,12.0,101,3.4660421545667446,1.0,11.349999999999909,107,2.740594059405941,1.0,8.0,54
sun_test_positive_pooled,SUN-SEG,positive_lesion_preservation,exact_rank,0.1,,2,173,29592,3439,2960,912,2048,427,209,218,509,283,703,2451,0.10002703433360367,0.26519337016574585,0.4894613583138173,0.555992141453831,17.109826589595375,2.9421965317919074,1.6358381502890174,3.3636363636363638,9.1288056206089,3.0,38.0,126,13.157894736842104,4.0,58.999999999999915,126,5.26605504587156,1.0,25.149999999999977,112,6.738703339882122,2.0,24.599999999999966,142,4.618374558303887,1.0,18.799999999999955,77
sun_test_positive_pooled,SUN-SEG,positive_lesion_preservation,exact_rank,0.1,,5,173,29592,3439,2960,912,2048,301,164,137,377,194,748,2583,0.10002703433360367,0.26519337016574585,0.5448504983388704,0.5145888594164456,17.109826589595375,2.179190751445087,1.1213872832369942,4.560975609756097,14.548172757475083,4.0,71.0,160,22.109756097560975,8.0,109.09999999999997,160,5.4963503649635035,2.0,24.399999999999977,61,10.429708222811671,4.0,42.0,152,7.144329896907217,2.0,29.399999999999977,81
sun_test_positive_pooled,SUN-SEG,positive_lesion_preservation,sun_val_frozen_threshold,0.1,0.07180122,0,173,29592,3439,304,219,85,778,75,703,164,52,144,140,0.010273046769397134,0.0636813027042745,0.09640102827763496,0.3170731707317073,1.7572254335260116,0.9479768786127167,0.30057803468208094,1.92,4.420308483290489,2.0,17.0,101,7.906666666666666,4.0,31.799999999999983,62,4.048364153627311,2.0,15.0,101,1.853658536585366,1.0,4.0,17,1.2692307692307692,1.0,2.0,3
sun_test_positive_pooled,SUN-SEG,positive_lesion_preservation,sun_val_frozen_threshold,0.1,0.07180122,2,173,29592,3439,304,219,85,427,62,365,117,34,157,187,0.010273046769397134,0.0636813027042745,0.1451990632318501,0.2905982905982906,1.7572254335260116,0.6763005780346821,0.19653179190751446,2.532258064516129,9.1288056206089,3.0,38.0,126,15.080645161290322,7.0,65.19999999999993,116,8.117808219178082,2.0,35.0,126,3.1709401709401708,1.0,8.199999999999989,58,1.911764705882353,1.0,4.699999999999996,7
sun_test_positive_pooled,SUN-SEG,positive_lesion_preservation,sun_val_frozen_threshold,0.1,0.07180122,5,173,29592,3439,304,219,85,301,56,245,100,28,163,204,0.010273046769397134,0.0636813027042745,0.18604651162790697,0.28,1.7572254335260116,0.5780346820809249,0.16184971098265896,2.9107142857142856,14.548172757475083,4.0,71.0,160,26.142857142857142,12.0,116.25,139,11.89795918367347,3.0,55.0,160,4.33,1.0,17.099999999999994,58,2.4642857142857144,1.0,7.0,8
sun_test_positive_pooled,SUN-SEG,positive_lesion_preservation,exact_rank,0.2,,0,173,29592,3439,5919,1266,4653,778,422,356,1286,850,844,4633,0.20002027575020276,0.36813027042744983,0.5424164524421594,0.6609642301710731,34.213872832369944,7.433526011560693,4.913294797687861,2.0,4.420308483290489,2.0,17.0,101,5.23696682464455,2.0,19.94999999999999,90,3.452247191011236,1.0,11.0,101,4.602643856920684,1.0,16.75,145,3.9258823529411764,1.0,14.0,116
sun_test_positive_pooled,SUN-SEG,positive_lesion_preservation,exact_rank,0.2,,2,173,29592,3439,5919,1266,4653,427,266,161,669,414,1000,5250,0.20002027575020276,0.36813027042744983,0.6229508196721312,0.6188340807174888,34.213872832369944,3.867052023121387,2.393063583815029,3.7593984962406015,9.1288056206089,3.0,38.0,126,12.041353383458647,4.0,50.0,126,4.316770186335404,1.0,22.0,53,10.077727952167415,3.0,44.0,152,8.028985507246377,2.0,35.0,135
