slice,dataset,system,temporal_mode,presence_stratum,task,metric,estimate_median,ci_lower_025,ci_upper_975,bootstrap_iterations_valid,cluster_count,independent_unit_type
polypgen_test,PolypGen-Video,SALI,official_future_neighbor_parity,no lesion,negative_false_positive,aurc,1.0,1.0,1.0,1000,4,sequence
polypgen_test,PolypGen-Video,SALI,official_future_neighbor_parity,no lesion,negative_false_positive,top_01_failure_recall,0.010810810810810811,0.01002865329512894,0.01155115511551155,1000,4,sequence
polypgen_test,PolypGen-Video,SALI,official_future_neighbor_parity,no lesion,negative_false_positive,top_05_failure_recall,0.05071315372424723,0.05,0.0514820592823713,1000,4,sequence
polypgen_test,PolypGen-Video,SALI,official_future_neighbor_parity,no lesion,negative_false_positive,top_10_failure_recall,0.10066006600660066,0.1,0.10142630744849446,1000,4,sequence
polypgen_test,PolypGen-Video,SALI,official_future_neighbor_parity,no lesion,negative_false_positive,top_20_failure_recall,0.2005813953488372,0.2,0.20134228187919462,1000,4,sequence
sam2_polypgen_test,PolypGen-Video,SAM2-SQA,offline_symmetric_sqa,no lesion,negative_false_positive,auprc,0.5574270695496106,0.376273953660981,0.858662859667583,997,4,sequence
sam2_polypgen_test,PolypGen-Video,SAM2-SQA,offline_symmetric_sqa,no lesion,negative_false_positive,aurc,0.9676816235269781,0.8886719197261764,0.9985654815613442,1000,4,sequence
sam2_polypgen_test,PolypGen-Video,SAM2-SQA,offline_symmetric_sqa,no lesion,negative_false_positive,auroc,0.0,0.0,0.0,997,4,sequence
sam2_polypgen_test,PolypGen-Video,SAM2-SQA,offline_symmetric_sqa,no lesion,negative_false_positive,top_01_failure_recall,0.0,0.0,0.0,1000,4,sequence
sam2_polypgen_test,PolypGen-Video,SAM2-SQA,offline_symmetric_sqa,no lesion,negative_false_positive,top_05_failure_recall,0.0,0.0,0.0125,1000,4,sequence
sam2_polypgen_test,PolypGen-Video,SAM2-SQA,offline_symmetric_sqa,no lesion,negative_false_positive,top_10_failure_recall,0.0,0.0,0.0625,1000,4,sequence
sam2_polypgen_test,PolypGen-Video,SAM2-SQA,offline_symmetric_sqa,no lesion,negative_false_positive,top_20_failure_recall,0.0,0.0,0.1625,1000,4,sequence
sam2_sun_easy_unseen,SUN-SEG,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,auprc,0.8985074174358103,0.7213295174685654,0.9766460730640377,1000,39,case
sam2_sun_easy_unseen,SUN-SEG,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,aurc,0.019404807258602032,0.004486770220263967,0.0493499612657535,1000,39,case
sam2_sun_easy_unseen,SUN-SEG,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,auroc,0.9699799232823458,0.9208320073140374,0.9959356027454845,1000,39,case
sam2_sun_easy_unseen,SUN-SEG,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,top_01_failure_recall,0.06818181818181818,0.04264899847983547,0.16363636363636364,1000,39,case
sam2_sun_easy_unseen,SUN-SEG,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,top_05_failure_recall,0.3106060606060606,0.1942898819636949,0.6481944444444444,1000,39,case
sam2_sun_easy_unseen,SUN-SEG,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,top_10_failure_recall,0.5766423357664233,0.38209098366588656,0.8865259740259739,1000,39,case
sam2_sun_easy_unseen,SUN-SEG,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,top_20_failure_recall,0.85,0.6491301265270506,1.0,1000,39,case
sam2_sun_hard_unseen,SUN-SEG,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,auprc,0.697415956129892,0.1657086177411901,1.0,998,26,case
sam2_sun_hard_unseen,SUN-SEG,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,aurc,0.00915891005147684,5.407008561777367e-05,0.030114216790985835,1000,26,case
sam2_sun_hard_unseen,SUN-SEG,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,auroc,0.9357455479875204,0.8265513343086115,1.0,998,26,case
sam2_sun_hard_unseen,SUN-SEG,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,top_01_failure_recall,0.10526315789473684,0.0,0.7151785714285707,1000,26,case
sam2_sun_hard_unseen,SUN-SEG,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,top_05_failure_recall,0.4048216276477146,0.0285515873015873,1.0,1000,26,case
sam2_sun_hard_unseen,SUN-SEG,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,top_10_failure_recall,0.5652173913043478,0.15523809523809526,1.0,1000,26,case
sam2_sun_hard_unseen,SUN-SEG,SAM2-SQA,offline_symmetric_sqa,lesion present,positive_lesion_preservation,top_20_failure_recall,0.8518518518518519,0.46814556962025317,1.0,1000,26,case
sun_easy_unseen,SUN-SEG,SALI,causal_previous_neighbor_raw,lesion present,positive_lesion_preservation,auprc,0.39069794752062725,0.28395123612133805,0.5146899419316048,1000,39,case
sun_easy_unseen,SUN-SEG,SALI,causal_previous_neighbor_raw,lesion present,positive_lesion_preservation,aurc,0.0730310381872451,0.030474144766923776,0.1385540485573063,1000,39,case
