slice,dataset,source,task,selection_mode,nominal_budget,threshold,frames,failures,failure_prevalence,reviewed_frames,review_fraction,caught_failures,failure_recall,review_precision,failure_recall_lift_over_random,precision_lift_over_prevalence,false_referrals,safe_frame_false_referral_rate,remaining_failures,residual_failure_fraction,residual_failure_rate_all_frames,remaining_failure_rate_unreviewed,auroc,auprc
sun_train_negative_case1,SUN-SEG,negative_case1,negative_false_positive,exact_rank,0.01,,9961,8863,0.8897701034032728,100,0.010039152695512499,100,0.01128286133363421,1.0,1.1238858174433037,1.1238858174433035,0,0.0,8763,0.9887171386663658,0.8797309507077603,0.8886522665044113,0.9909144707731761,0.9988163849450082
sun_train_negative_case1,SUN-SEG,negative_case1,negative_false_positive,sun_val_frozen_threshold,0.01,0.13528396,9961,8863,0.8897701034032728,204,0.020479871498845496,204,0.023017037120613787,1.0,1.1238858174433037,1.1238858174433035,0,0.0,8659,0.9769829628793862,0.8692902319044272,0.8874654094496259,0.9909144707731761,0.9988163849450082
sun_train_negative_case1,SUN-SEG,negative_case1,negative_false_positive,exact_rank,0.05,,9961,8863,0.8897701034032728,499,0.05009537195060737,499,0.05630147805483471,1.0,1.1238858174433037,1.1238858174433035,0,0.0,8364,0.9436985219451653,0.8396747314526654,0.8839568801521877,0.9909144707731761,0.9988163849450082
sun_train_negative_case1,SUN-SEG,negative_case1,negative_false_positive,sun_val_frozen_threshold,0.05,0.09579211,9961,8863,0.8897701034032728,602,0.060435699226985246,602,0.06792282522847794,1.0,1.1238858174433035,1.1238858174433035,0,0.0,8261,0.9320771747715221,0.8293344041762876,0.8826797734800726,0.9909144707731761,0.9988163849450082
sun_train_negative_case1,SUN-SEG,negative_case1,negative_false_positive,exact_rank,0.1,,9961,8863,0.8897701034032728,997,0.10009035237425962,997,0.11249012749633307,1.0,1.1238858174433035,1.1238858174433035,0,0.0,7866,0.887509872503667,0.7896797510290131,0.8775100401606426,0.9909144707731761,0.9988163849450082
sun_train_negative_case1,SUN-SEG,negative_case1,negative_false_positive,sun_val_frozen_threshold,0.1,0.07180122,9961,8863,0.8897701034032728,1111,0.11153498644714387,1111,0.12535258941667607,1.0,1.1238858174433035,1.1238858174433035,0,0.0,7752,0.874647410583324,0.7782351169561289,0.8759322033898305,0.9909144707731761,0.9988163849450082
sun_train_negative_case1,SUN-SEG,negative_case1,negative_false_positive,exact_rank,0.2,,9961,8863,0.8897701034032728,1993,0.2000803132215641,1993,0.2248674263793298,1.0,1.1238858174433035,1.1238858174433035,0,0.0,6870,0.7751325736206702,0.6896897901817086,0.8621987951807228,0.9909144707731761,0.9988163849450082
sun_train_negative_case1,SUN-SEG,negative_case1,negative_false_positive,sun_val_frozen_threshold,0.2,0.04186127,9961,8863,0.8897701034032728,2119,0.21272964561790986,2119,0.2390838316597089,1.0,1.1238858174433035,1.1238858174433035,0,0.0,6744,0.7609161683402911,0.6770404577853629,0.8599846977811783,0.9909144707731761,0.9988163849450082
sun_val_positive,SUN-SEG,official_train_val,positive_lesion_preservation,exact_rank,0.01,,3932,910,0.23143438453713122,40,0.01017293997965412,40,0.04395604395604396,1.0,4.320879120879121,4.320879120879121,0,0.0,870,0.9560439560439561,0.22126144455747712,0.223535457348407,0.8098441102246529,0.7458834327921142
sun_val_positive,SUN-SEG,official_train_val,positive_lesion_preservation,sun_val_frozen_threshold,0.01,0.13528396,3932,910,0.23143438453713122,3,0.000762970498474059,3,0.0032967032967032967,1.0,4.320879120879121,4.320879120879121,0,0.0,907,0.9967032967032967,0.23067141403865718,0.23084754390430134,0.8098441102246529,0.7458834327921142
sun_val_positive,SUN-SEG,official_train_val,positive_lesion_preservation,exact_rank,0.05,,3932,910,0.23143438453713122,197,0.05010172939979654,188,0.20659340659340658,0.9543147208121827,4.123478551904948,4.123478551904948,9,0.0029781601588352085,722,0.7934065934065934,0.18362156663275686,0.19330655957161982,0.8098441102246529,0.7458834327921142
sun_val_positive,SUN-SEG,official_train_val,positive_lesion_preservation,sun_val_frozen_threshold,0.05,0.09579211,3932,910,0.23143438453713122,6,0.001525940996948118,6,0.006593406593406593,1.0,4.320879120879121,4.320879120879121,0,0.0,904,0.9934065934065934,0.2299084435401831,0.23025980641874683,0.8098441102246529,0.7458834327921142
sun_val_positive,SUN-SEG,official_train_val,positive_lesion_preservation,exact_rank,0.1,,3932,910,0.23143438453713122,394,0.10020345879959308,352,0.3868131868131868,0.8934010152284264,3.8602777932727173,3.8602777932727173,42,0.013898080741230973,558,0.6131868131868132,0.14191251271617497,0.15771622385528547,0.8098441102246529,0.7458834327921142
sun_val_positive,SUN-SEG,official_train_val,positive_lesion_preservation,sun_val_frozen_threshold,0.1,0.07180122,3932,910,0.23143438453713122,12,0.003051881993896236,12,0.013186813186813187,1.0,4.320879120879121,4.320879120879121,0,0.0,898,0.9868131868131869,0.228382502543235,0.22908163265306122,0.8098441102246529,0.7458834327921142
sun_val_positive,SUN-SEG,official_train_val,positive_lesion_preservation,exact_rank,0.2,,3932,910,0.23143438453713122,787,0.20015259409969482,601,0.6604395604395604,0.7636594663278272,3.2996802435176003,3.2996802435176007,186,0.06154864328259431,309,0.3395604395604396,0.07858596134282808,0.09825119236883943,0.8098441102246529,0.7458834327921142
sun_val_positive,SUN-SEG,official_train_val,positive_lesion_preservation,sun_val_frozen_threshold,0.2,0.04186127,3932,910,0.23143438453713122,42,0.010681586978636826,42,0.046153846153846156,1.0,4.3208791208791215,4.320879120879121,0,0.0,868,0.9538461538461539,0.22075279755849442,0.22313624678663238,0.8098441102246529,0.7458834327921142
sun_val_negative_case2,SUN-SEG,negative_case2,negative_false_positive,exact_rank,0.01,,10073,9041,0.8975479003276084,101,0.010026804328402661,101,0.011171330605021568,1.0,1.1141466651919034,1.1141466651919036,0,0.0,8940,0.9888286693949784,0.8875210959992058,0.8965102286401926,0.9897735466938299,0.998775420311313
sun_val_negative_case2,SUN-SEG,negative_case2,negative_false_positive,sun_val_frozen_threshold,0.01,0.13528396,10073,9041,0.8975479003276084,138,0.013699990072470962,138,0.015263798252405708,1.0,1.1141466651919036,1.1141466651919036,0,0.0,8903,0.9847362017475942,0.8838479102551375,0.8961248112732763,0.9897735466938299,0.998775420311313
sun_val_negative_case2,SUN-SEG,negative_case2,negative_false_positive,exact_rank,0.05,,10073,9041,0.8975479003276084,504,0.05003474635163308,504,0.055746045791394756,1.0,1.1141466651919034,1.1141466651919036,0,0.0,8537,0.9442539542086053,0.8475131539759754,0.8921517399937298,0.9897735466938299,0.998775420311313
sun_val_negative_case2,SUN-SEG,negative_case2,negative_false_positive,sun_val_frozen_threshold,0.05,0.09579211,10073,9041,0.8975479003276084,695,0.06899632681425594,695,0.07687202743059396,1.0,1.1141466651919034,1.1141466651919036,0,0.0,8346,0.923127972569406,0.8285515735133525,0.889955214331414,0.9897735466938299,0.998775420311313
sun_val_negative_case2,SUN-SEG,negative_case2,negative_false_positive,exact_rank,0.1,,10073,9041,0.8975479003276084,1008,0.10006949270326616,1008,0.11149209158278951,1.0,1.1141466651919034,1.1141466651919036,0,0.0,8033,0.8885079084172105,0.7974784076243423,0.8861555432984004,0.9897735466938299,0.998775420311313
sun_val_negative_case2,SUN-SEG,negative_case2,negative_false_positive,sun_val_frozen_threshold,0.1,0.07180122,10073,9041,0.8975479003276084,1389,0.13789337833813164,1389,0.15363344762747483,1.0,1.1141466651919034,1.1141466651919036,0,0.0,7652,0.8463665523725251,0.7596545219894768,0.8811607554122525,0.9897735466938299,0.998775420311313
