predictor,method,split,frames,positive_frames,auroc,auprc,best_f1,best_f1_threshold,recall_at_top10_val_threshold,precision_at_top10_val_threshold,flagged_fraction_top10_val_threshold
spatial_mamba_tiny,scalar_edge_density,sunneg_test,7152,6392,0.99405507,0.99940594,0.99417871,0.00000000,0.16864831,1.00000000,0.15072707
spatial_mamba_tiny,scalar_high_entropy,val,14005,9951,0.92333128,0.97163058,0.90391982,0.00533286,0.14078987,1.00000000,0.10003570
spatial_mamba_tiny,scalar_high_entropy,sunpos_easy_seen,4719,407,0.66925966,0.33281316,0.42704627,0.02032614,0.07125307,0.64444444,0.00953592
spatial_mamba_tiny,scalar_high_entropy,sunpos_easy_unseen,12351,1663,0.43117165,0.23370077,0.27777779,0.02159761,0.04269393,0.71717172,0.00801555
spatial_mamba_tiny,scalar_high_entropy,sunpos_hard_seen,3882,316,0.44431675,0.10503209,0.17981072,0.01300343,0.00949367,0.18750000,0.00412159
spatial_mamba_tiny,scalar_high_entropy,sunpos_hard_unseen,8640,1053,0.57535457,0.30519946,0.32343233,0.02764633,0.11016144,0.80555556,0.01666667
spatial_mamba_tiny,scalar_high_entropy,sunneg_test,7152,6392,0.98559425,0.99812304,0.98617578,0.00158394,0.11702128,1.00000000,0.10458613
spatial_mamba_tiny,scalar_low_foreground_mean,val,14005,9951,0.61385614,0.71019370,0.83097768,-0.98211056,0.03708170,0.26338330,0.10003570
spatial_mamba_tiny,scalar_low_foreground_mean,sunpos_easy_seen,4719,407,0.90152987,0.63858930,0.57104915,-0.93666691,0.18181818,1.00000000,0.01568129
spatial_mamba_tiny,scalar_low_foreground_mean,sunpos_easy_unseen,12351,1663,0.94511890,0.81870524,0.73626685,-0.93851519,0.20024053,1.00000000,0.02696138
spatial_mamba_tiny,scalar_low_foreground_mean,sunpos_hard_seen,3882,316,0.88246413,0.70847290,0.65900379,-0.90353596,0.25949367,1.00000000,0.02112313
spatial_mamba_tiny,scalar_low_foreground_mean,sunpos_hard_unseen,8640,1053,0.90135523,0.69968227,0.65959322,-0.94177222,0.12345679,1.00000000,0.01504630
spatial_mamba_tiny,scalar_low_foreground_mean,sunneg_test,7152,6392,0.00594493,0.73418886,0.94388658,-0.98717493,0.03347935,0.21971253,0.13618568
spatial_mamba_tiny,scalar_low_max_probability,val,14005,9951,0.70532022,0.73931767,0.90036297,-0.99999994,0.03708170,0.26338330,0.10003570
spatial_mamba_tiny,scalar_low_max_probability,sunpos_easy_seen,4719,407,0.90915644,0.67182456,0.61985475,-0.99998152,0.18181818,1.00000000,0.01568129
spatial_mamba_tiny,scalar_low_max_probability,sunpos_easy_unseen,12351,1663,0.88246748,0.73545740,0.67823243,-0.99995500,0.19903788,1.00000000,0.02679945
spatial_mamba_tiny,scalar_low_max_probability,sunpos_hard_seen,3882,316,0.92002128,0.75446126,0.69469839,-0.99994546,0.26265823,1.00000000,0.02138073
spatial_mamba_tiny,scalar_low_max_probability,sunpos_hard_unseen,8640,1053,0.84869919,0.63305897,0.60777724,-0.99996930,0.12345679,1.00000000,0.01504630
spatial_mamba_tiny,scalar_low_max_probability,sunneg_test,7152,6392,0.00017971,0.73352231,0.94388658,-1.00000000,0.03254068,0.21487603,0.13534676
spatial_mamba_tiny,scalar_low_previous_iou,val,14005,9951,0.68610734,0.76955259,0.86298984,-0.84671319,0.24409607,0.68674018,0.25255266
spatial_mamba_tiny,scalar_low_previous_iou,sunpos_easy_seen,4719,407,0.90005692,0.50008052,0.54933870,-0.66176468,0.26781327,0.66871166,0.03454122
spatial_mamba_tiny,scalar_low_previous_iou,sunpos_easy_unseen,12351,1663,0.89853191,0.65265100,0.65007240,-0.55259025,0.33193025,0.77202797,0.05789005
spatial_mamba_tiny,scalar_low_previous_iou,sunpos_hard_seen,3882,316,0.88488014,0.62135315,0.66779667,-0.31259260,0.47468354,0.77720207,0.04971664
spatial_mamba_tiny,scalar_low_previous_iou,sunpos_hard_unseen,8640,1053,0.86824147,0.53781318,0.57372653,-0.54545456,0.22697056,0.70710059,0.03912037
spatial_mamba_tiny,scalar_low_previous_iou,sunneg_test,7152,6392,0.12484355,0.78866926,0.94388658,-1.00000000,0.24968711,0.67741935,0.32941834
spatial_mamba_tiny,scalar_previous_absdiff,val,14005,9951,0.89601576,0.94728932,0.89303893,0.00505172,0.13797608,0.98001428,0.10003570
spatial_mamba_tiny,scalar_previous_absdiff,sunpos_easy_seen,4719,407,0.78305871,0.37519957,0.44662309,0.02510718,0.05159705,0.61764706,0.00720492
spatial_mamba_tiny,scalar_previous_absdiff,sunpos_easy_unseen,12351,1663,0.61780393,0.27648768,0.33753398,0.02064753,0.02465424,0.50617284,0.00655817
spatial_mamba_tiny,scalar_previous_absdiff,sunpos_hard_seen,3882,316,0.62368839,0.14861319,0.25329280,0.01978604,0.00316456,0.11111111,0.00231839
spatial_mamba_tiny,scalar_previous_absdiff,sunpos_hard_unseen,8640,1053,0.70100203,0.30883392,0.36504254,0.02855845,0.05603039,0.63440860,0.01076389
spatial_mamba_tiny,scalar_previous_absdiff,sunneg_test,7152,6392,0.83788195,0.97048799,0.96105278,0.00021633,0.12312265,0.98621554,0.11157718
spatial_mamba_tiny,scalar_previous_area_delta,val,14005,9951,0.87714895,0.93413141,0.88900739,0.00119651,0.13626771,0.96788009,0.10003570
spatial_mamba_tiny,scalar_previous_area_delta,sunpos_easy_seen,4719,407,0.77855040,0.36192797,0.44696969,0.01034628,0.06142506,0.60975610,0.00868828
spatial_mamba_tiny,scalar_previous_area_delta,sunpos_easy_unseen,12351,1663,0.63432267,0.28185401,0.34680286,0.00893863,0.03427541,0.53271028,0.00866327
spatial_mamba_tiny,scalar_previous_area_delta,sunpos_hard_seen,3882,316,0.63105756,0.14523762,0.24571037,0.00506757,0.00632911,0.11111111,0.00463679
spatial_mamba_tiny,scalar_previous_area_delta,sunpos_hard_unseen,8640,1053,0.70355938,0.30974275,0.36992279,0.01133164,0.06077873,0.64646465,0.01145833
spatial_mamba_tiny,scalar_previous_area_delta,sunneg_test,7152,6392,0.79553698,0.96021633,0.96636081,0.00007038,0.12437422,0.97785978,0.11367450
